subject,singleFace,subjectFaceResponse
24,45,39.70092731
24,11,2.67870405
24,17,5.44629595
24,16,7.71481447
24,29,18.37685323
24,35,25.63611249
24,40,29.62870301
24,21,10.98148148
24,6,6.716667704
24,18,6.716667704
24,44,44.32870371
24,13,12.38796227
24,9,9.438889923
24,23,5.44629595
24,34,16.47129561
24,10,10.34629734
24,4,6.308333676
24,37,33.66666667
24,5,2.633334371
24,43,35.48148148
24,46,40.10925787
24,3,6.081481831
24,22,9.121296987
24,30,12.25185323
24,26,12.70555694
24,14,8.894445133
24,20,12.52407477
24,2,4.039815164
24,24,20.10092523
24,1,4.720370717
24,25,15.29166667
24,8,9.438889923
24,32,6.852778467
24,7,9.302777429
24,36,16.83425995
24,50,48.54814953
24,15,5.083333333
24,28,5.083333333
24,49,49.72778193
24,47,49.95463378
24,33,25.54536968
24,27,19.55648217
24,12,8.758334371
24,38,36.29814953
24,42,38.47592523
24,31,24.81944445
24,41,32.26018588
24,39,32.26018588
25,19,1.544444447
25,48,48.23055555
25,45,42.55925926
25,11,1.294907407
25,17,8.395370374
25,16,8.395370374
25,29,25.52268519
25,35,25.59074074
25,40,41.74259259
25,21,10.73194445
25,6,4.788425927
25,18,5.060648146
25,44,42.89953704
25,13,9.257407407
25,9,9.14398148
25,23,13.49953704
25,34,13.49953704
25,10,5.037962959
25,4,4.743055553
25,37,43.71620371
25,5,6.013425927
25,43,46.14351852
25,46,44.73703704
25,3,9.05324074
25,22,12.86435185
25,30,13.38611111
25,26,13.25
25,14,9.688425927
25,20,11.45787037
25,2,7.714814813
25,24,11.91157407
25,1,6.08148148
25,25,18.62638889
25,8,6.762037041
25,32,25.79490741
25,7,7.170370374
25,36,31.46620371
25,50,39.49675926
25,15,9.23472222
25,28,17.58287037
25,49,34.30185185
25,47,39.99583333
25,33,22.82314815
25,27,16.83425926
25,12,8.849074073
25,38,42.78611111
25,42,40.76712963
25,31,34.57407407
25,41,42.15092593
25,39,40.76712963
26,19,17.24103299
26,48,49.20417534
26,45,49.23097222
26,11,8.968667532
26,17,13.81294705
26,16,13.65067708
26,29,33.67198351
26,35,34.98630643
26,40,42.89755208
26,21,25.36473958
26,6,13.79763455
26,18,18.36501302
26,44,45.34521268
26,13,13.44055555
26,9,10.74534288
26,23,25.52169271
26,34,37.77722222
26,10,15.2721007
26,4,15.2721007
26,37,45.34946615
26,5,14.69639323
26,43,45.53725695
26,46,47.56956597
26,3,14.83463107
26,22,21.65230903
26,30,34.11753472
26,26,37.7491493
26,14,21.3953993
26,20,23.9678993
26,2,6.08375
26,24,29.67457031
26,1,13.36335503
26,25,34.1024349
26,8,25.65844184
26,32,43.16615885
26,7,21.92282986
26,36,48.98363281
26,50,49.82411893
26,15,17.22529514
26,28,33.8421224
26,49,45.96302951
26,47,49.77201389
26,33,39.06177083
26,27,33.71409288
26,12,15.91884115
26,38,39.04305555
26,42,42.33885851
26,31,36.57200087
26,41,42.8328993
26,39,43.32141059
27,19,9.438888886
27,48,42.21444445
27,45,42.21444445
27,11,1.217777781
27,17,17.17
27,16,17.17
27,29,33.55777778
27,35,41.72444445
27,40,41.72444445
27,21,17.55111111
27,6,1.544444447
27,18,9.166666667
27,44,41.56111111
27,13,17.27888889
27,9,9.166666667
27,23,9.11222222
27,34,33.83
27,10,8.894444447
27,4,1.108888886
27,37,41.72444445
27,5,9.547777781
27,43,42.26888889
27,46,42.10555555
27,3,9.33
27,22,33.50333333
27,30,41.61555555
27,26,25.60888889
27,14,9.275555553
27,20,9.275555553
27,2,1.108888886
27,24,25.71777778
27,1,9.438888886
27,25,25.5
27,8,9.11222222
27,32,33.72111111
27,7,17.33333333
27,36,41.72444445
27,50,49.72777778
27,15,10.09222222
27,28,17.66
27,49,41.77888889
27,47,49.89111111
27,33,42.10555555
27,27,33.55777778
27,12,9.003333333
27,38,33.17666667
27,42,41.50666667
27,31,33.72111111
27,41,49.45555555
27,39,49.45555555
28,19,17.5375
28,48,41.425
28,45,41.49305555
28,11,17.19722222
28,17,17.19722222
28,16,17.19722222
28,29,29.24305555
28,35,29.24305555
28,40,38.43055555
28,21,27.95
28,6,13.38611111
28,18,20.73611111
28,44,41.49305555
28,13,17.12916667
28,9,17.12916667
28,23,30.60416667
28,34,36.525
28,10,20.05555555
28,4,23.11805555
28,37,35.84444445
28,5,20.66805555
28,43,41.83333333
28,46,41.83333333
28,3,18.96666667
28,22,23.79861111
28,30,31.69305555
28,26,31.69305555
28,14,23.93472222
28,20,23.93472222
28,2,19.64722222
28,24,28.76666667
28,1,23.6625
28,25,31.0125
28,8,24.41111111
28,32,31.55694445
28,7,23.25416667
28,36,33.39444445
28,50,42.44583333
28,15,20.32777778
28,28,31.82916667
28,49,43.67083333
28,47,43.67083333
28,33,35.9125
28,27,35.9125
28,12,22.98194445
28,38,34.34722222
28,42,38.09027778
28,31,35.36805555
28,41,38.02222222
28,39,38.02222222
29,19,25.72685185
29,48,49.90925926
29,45,49.95462963
